N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
180,ESR켄달스퀘어리츠,"6,800",50,-0.73%,"1,000","14,490","213,089",53.28,"192,387",48.57,1.34,
181,LS ELECTRIC,"48,100","1,750",-3.51%,"5,000","14,430","30,000",14.75,"82,991",17.03,5.86,
182,KODEX 삼성그룹,"8,970",45,0.50%,0,"14,289","159,300",0.1,"300,949",N/A,N/A,
183,현대엘리베이,"34,700",600,-1.70%,"5,000","14,163","40,815",30,"83,275",12.52,10.62,
184,롯데리츠,"5,820",10,0.17%,500,"14,141","242,969",9.37,"166,311",76.58,1.59,
185,KODEX 종합채권(AA-이상)액티브,"103,135",90,-0.09%,0,"14,079","13,651",0.01,545,N/A,N/A,
186,롯데렌탈,"38,200",300,0.79%,"5,000","13,994","36,634",4.6,"83,373",10.37,12.28,
187,TIGER 미국필라델피아반도체나스닥,"10,375",265,2.62%,0,"13,975","134,700",0.84,"1,614,886",N/A,N/A,
188,아시아나항공,"18,650",200,-1.06%,"5,000","13,878","74,412",7.85,"288,261",-3.83,-47.21,
189,에스엘,"29,150",550,-1.85%,500,"13,540","46,449",14.27,"322,109",14.57,6.63,
190,KODEX 2차전지산업,"19,665",250,1.29%,0,"13,313","67,700",0.71,"1,852,886",N/A,N/A,
191,한국앤컴퍼니,"14,000",150,-1.06%,500,"13,291","94,935",9.79,"41,390",6.71,5.53,
192,한일시멘트,"19,150",350,1.86%,500,"13,264","69,262",3.25,"77,372",16.87,5.89,
193,TIGER 2차전지테마,"20,370",325,1.62%,0,"13,169","64,650",0.98,"1,914,950",N/A,N/A,
194,DL,"62,500",900,-1.42%,"5,000","13,097","20,956",11.82,"37,689",1.51,26.52,
195,PI첨단소재,"44,400",250,0.57%,500,"13,039","29,366",10.22,"79,346",20.38,21.03,
196,TIGER MSCI Korea TR,"14,230",60,0.42%,0,"13,035","91,600",4.8,661,N/A,N/A,
197,두산,"78,600","4,000",-4.84%,"5,000","12,988","16,524",11.3,"223,340",7.95,11.08,
198,TIGER 미국테크TOP10 INDXX,"10,425",90,0.87%,0,"12,896","123,700",0.44,"626,876",N/A,N/A,
199,삼성 레버리지 WTI원유 선물 ETN,"2,550",75,-2.86%,0,"12,852","504,000",0,"861,386",N/A,N/A,
200,일동제약,"47,700","1,100",2.36%,"1,000","12,785","26,803",1.82,"3,599,638",-11.39,-48.94,
